"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","105","0","","0"
"0","","0","Group Management","2","0","Filter by Name","0"
"0","","0","Filtering","2","0","Filter by Name","0"
"0","","0","Group Management","1","0","Share Subscription with Group","0"
"0","","0","Sharing","1","0","Share Subscription with Group","0"
"0","","0","Group Management","3","0","Create Group","0"
"0","","0","Validation","2","0","Create Group","0"
"0","","0","Group Management","1","0","","0"
"0","","0","GetById","1","0","","0"
"0","","0","Group Management","1","0","Leave Group","0"
"0","","0","Membership","1","0","Leave Group","0"
"0","","0","Group Management","1","0","Role Management","0"
"0","","0","Membership","1","0","Role Management","0"
"0","","0","Group Management","1","0","Delete Group","0"
"0","","0","CRUD","1","0","Delete Group","0"
"0","","0","CRUD","1","0","Create Group","0"
"0","","0","Group Management","1","0","Caching","0"
"0","","0","Performance","1","0","Caching","0"
"0","","0","Group Management","1","0","Update Group","0"
"0","","0","CRUD","1","0","Update Group","0"
