"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","194","GetFullInfoById_WhenMemberExists_ReturnsMappedMemberDto","SubsTracker.UnitTests","Mon Jun 22 14:41:34 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","GetFullInfoById_WhenMemberExists_ReturnsMappedMemberDto"
"","6","Delete_WhenSubscriptionDoesNotExist_ThrowsUnknownIdentifierException","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Delete_WhenSubscriptionDoesNotExist_ThrowsUnknownIdentifierException"
"","3","GetCurrentProfile_ShouldRetry_WhenDatabaseTransientlyFails","","Mon Jun 22 14:42:04 UTC 2026","passed","Mon Jun 22 14:42:04 UTC 2026","","Integration Tests","SubsTracker.IntegrationTests.Orchestrator.OrchestratorTests","GetCurrentProfile_ShouldRetry_WhenDatabaseTransientlyFails"
"","60","GetAll_WhenFilteredByEmail_ReturnsCorrectUser","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetAll_WhenFilteredByEmail_ReturnsCorrectUser"
"","46","Delete_WhenCorrectModel_DeletesUserGroup","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Delete_WhenCorrectModel_DeletesUserGroup"
"","55","GetAll_WhenFilteredByFirstName_ReturnsMatchingUsers","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetAll_WhenFilteredByFirstName_ReturnsMatchingUsers"
"","21","Create_WhenUserNotExists_ReturnsNull","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Create_WhenUserNotExists_ReturnsNull"
"","4","Update_WhenUserDoesNotExist_ThrowsUnknownIdentifierException","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Update_WhenUserDoesNotExist_ThrowsUnknownIdentifierException"
"","2","GetAll_WhenFilteredByNonExistentEmail_ReturnsEmptyList","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetAll_WhenFilteredByNonExistentEmail_ReturnsEmptyList"
"","5008","CacheDataWithLock_WhenLockAcquiredByAnotherThread_WaitAndRetry","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:40 UTC 2026","CacheServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.CacheServiceTests","CacheDataWithLock_WhenLockAcquiredByAnotherThread_WaitAndRetry"
"","9","GetUpcomingBills_WhenCalled_DelegatesToMediator","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetUpcomingBills_WhenCalled_DelegatesToMediator"
"","42","GetAllHistory_WhenRequestingMiddlePage_ReturnsCorrectMetadata","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","SubscriptionHistoryServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionHistoryServiceTests","GetAllHistory_WhenRequestingMiddlePage_ReturnsCorrectMetadata"
"","12","GetAll_WhenFilteredByEnums_ReturnsMatchingSubscriptions","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetAll_WhenFilteredByEnums_ReturnsMatchingSubscriptions"
"Verifies that a non-existent name filter returns an empty paginated list","61","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList","","Mon Jun 22 14:42:09 UTC 2026","passed","Mon Jun 22 14:42:09 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList"
"","22","GetAll_WhenFilteredByEnums_ReturnsMatchingSubscriptions","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetAll_WhenFilteredByEnums_ReturnsMatchingSubscriptions"
"Verifies that the API returns the correct user details when searching by a specific GUID","24","GetById_ShouldReturnCorrectUser","","Mon Jun 22 14:42:07 UTC 2026","passed","Mon Jun 22 14:42:07 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","GetById_ShouldReturnCorrectUser"
"Verifies that a user can link an existing subscription to a group","60","ShareSubscription_WhenValid_AddsLinkInDatabase","","Mon Jun 22 14:42:10 UTC 2026","passed","Mon Jun 22 14:42:10 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","ShareSubscription_WhenValid_AddsLinkInDatabase"
"","36","Delete_WhenUserExists_DeletesUserAndPublishesSignal","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Delete_WhenUserExists_DeletesUserAndPublishesSignal"
"","12","ChangeRole_WhenNotAdmin_ChangeRoleAndPublishesSignal","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","ChangeRole_WhenNotAdmin_ChangeRoleAndPublishesSignal"
"","68","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList","SubsTracker.UnitTests","Mon Jun 22 14:41:34 UTC 2026","passed","Mon Jun 22 14:41:34 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList"
"Verifies that the API prevents group creation if the authenticated Auth0 ID does not exist in our system","53","Create_WhenUserDoesNotExist_ReturnsUnauthorized","","Mon Jun 22 14:42:09 UTC 2026","passed","Mon Jun 22 14:42:09 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","Create_WhenUserDoesNotExist_ReturnsUnauthorized"
"","54","Update_WhenValidModel_ReturnsUpdatedEntity","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","Update_WhenValidModel_ReturnsUpdatedEntity"
"Verifies that a member can leave a group, their record is removed, and a departure event is fired","150","LeaveGroup_WhenValid_RemovesMemberAndPublishesEvent","","Mon Jun 22 14:42:09 UTC 2026","passed","Mon Jun 22 14:42:09 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","LeaveGroup_WhenValid_RemovesMemberAndPublishesEvent"
"","186","GetAll_WhenRequestingSecondPage_ReturnsCorrectMetadata","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetAll_WhenRequestingSecondPage_ReturnsCorrectMetadata"
"","20","Create_WhenUserExistsButHasNoIdentityId_ShouldUpdateAndPublishUpdatedSignal","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:36 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Create_WhenUserExistsButHasNoIdentityId_ShouldUpdateAndPublishUpdatedSignal"
"","50","FullUserUpdate_ShouldNotUpdateLocalDb_IfAuth0FailsPermanently","","Mon Jun 22 14:42:04 UTC 2026","passed","Mon Jun 22 14:42:04 UTC 2026","","Integration Tests","SubsTracker.IntegrationTests.Orchestrator.OrchestratorTests","FullUserUpdate_ShouldNotUpdateLocalDb_IfAuth0FailsPermanently"
"","135","UpdateUserProfile_ShouldExecuteServiceCode","SubsTracker.IntegrationTests","Mon Jun 22 14:41:51 UTC 2026","passed","Mon Jun 22 14:41:51 UTC 2026","Auth0ServiceTests","SubsTracker.IntegrationTests.Auth0","SubsTracker.IntegrationTests.Auth0.Auth0ServiceTests","UpdateUserProfile_ShouldExecuteServiceCode"
"Verifies that a subscription is marked inactive and a cancellation event is published to the bus","63","CancelSubscription_ShouldUpdateDatabaseAndPublishEvent","","Mon Jun 22 14:42:07 UTC 2026","passed","Mon Jun 22 14:42:07 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","CancelSubscription_ShouldUpdateDatabaseAndPublishEvent"
"","7","GetById_WhenSubscriptionDoesNotExist_ThrowsNotFoundException","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","GetById_WhenSubscriptionDoesNotExist_ThrowsNotFoundException"
"","16","RenewSubscription_WhenInvalidMonthsValue_ReturnsValidationException","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","SubscriptionServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionServiceTests","RenewSubscription_WhenInvalidMonthsValue_ReturnsValidationException"
"","44","GetById_WhenUserGroupExists_ReturnsGroupDto","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetById_WhenUserGroupExists_ReturnsGroupDto"
"","93","GetAll_WhenFilteredByPartialName_ReturnsMatchingGroups","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetAll_WhenFilteredByPartialName_ReturnsMatchingGroups"
"Verifies that the authenticated user can update their own profile details","160","Update_WhenValidData_ReturnsUpdatedUser","","Mon Jun 22 14:42:06 UTC 2026","passed","Mon Jun 22 14:42:06 UTC 2026","","User API","SubsTracker.IntegrationTests.User.UsersControllerTests","Update_WhenValidData_ReturnsUpdatedUser"
"Verifies that the API returns cached data even if the underlying database record changes","28","GetById_ShouldUseCache_OnConsecutiveCalls","","Mon Jun 22 14:42:10 UTC 2026","passed","Mon Jun 22 14:42:10 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","GetById_ShouldUseCache_OnConsecutiveCalls"
"","31","GetAllHistory_WhenFilteredByName_ReturnsFilteredResults","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","SubscriptionHistoryServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.SubscriptionHistoryServiceTests","GetAllHistory_WhenFilteredByName_ReturnsFilteredResults"
"","41","Update_WhenValidModel_ReturnsUpdatedGroupDtoAndPublishesSignal","SubsTracker.UnitTests","Mon Jun 22 14:41:35 UTC 2026","passed","Mon Jun 22 14:41:35 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Update_WhenValidModel_ReturnsUpdatedGroupDtoAndPublishesSignal"
