"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the API returns an empty list when no subscriptions match the provided name filter","982","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList","","Thu Mar 26 10:01:03 UTC 2026","passed","Thu Mar 26 10:01:04 UTC 2026","","Subscription API","SubsTracker.IntegrationTests.Subscription.SubscriptionsControllerTests","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList"
"","36","Delete_WhenUserExists_DeletesUserAndPublishesSignal","SubsTracker.UnitTests","Thu Mar 26 10:00:33 UTC 2026","passed","Thu Mar 26 10:00:33 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Delete_WhenUserExists_DeletesUserAndPublishesSignal"
"Verifies that a group is successfully removed from the database when a valid ID is provided","29","Delete_WhenValidId_RemovesGroup","","Thu Mar 26 10:01:09 UTC 2026","passed","Thu Mar 26 10:01:09 UTC 2026","","Group API","SubsTracker.IntegrationTests.Group.GroupsControllerTests","Delete_WhenValidId_RemovesGroup"
"","86","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList","SubsTracker.UnitTests","Thu Mar 26 10:00:33 UTC 2026","passed","Thu Mar 26 10:00:33 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetAll_WhenFilteredByNonExistentName_ReturnsEmptyList"
"","39","GetAll_WhenFilteredByEmail_ReturnsCorrectUser","SubsTracker.UnitTests","Thu Mar 26 10:00:33 UTC 2026","passed","Thu Mar 26 10:00:33 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","GetAll_WhenFilteredByEmail_ReturnsCorrectUser"
"","50","GetById_WhenCalled_CallsRepositoryExactlyOnce","SubsTracker.UnitTests","Thu Mar 26 10:00:33 UTC 2026","passed","Thu Mar 26 10:00:33 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","GetById_WhenCalled_CallsRepositoryExactlyOnce"
"","29","Create_WhenUserExistsWithIdentityId_ShouldJustReturnWithoutSignals","SubsTracker.UnitTests","Thu Mar 26 10:00:33 UTC 2026","passed","Thu Mar 26 10:00:33 UTC 2026","UserServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.UserServiceTests","Create_WhenUserExistsWithIdentityId_ShouldJustReturnWithoutSignals"
"","132","CacheDataWithLock_WhenCacheEmpty_AcquiresLockAndPopulates","SubsTracker.UnitTests","Thu Mar 26 10:00:33 UTC 2026","passed","Thu Mar 26 10:00:33 UTC 2026","CacheServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.CacheServiceTests","CacheDataWithLock_WhenCacheEmpty_AcquiresLockAndPopulates"
"","29","Create_WhenCalled_CallsRepositoryExactlyOnce","SubsTracker.UnitTests","Thu Mar 26 10:00:33 UTC 2026","passed","Thu Mar 26 10:00:33 UTC 2026","GroupServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.GroupServiceTests","Create_WhenCalled_CallsRepositoryExactlyOnce"
"","3","LeaveGroup_WhenNotTheMemberOfTheGroup_ThrowsUnknownIdentifierException","SubsTracker.UnitTests","Thu Mar 26 10:00:33 UTC 2026","passed","Thu Mar 26 10:00:33 UTC 2026","MemberServiceTests","SubsTracker.UnitTests","SubsTracker.UnitTests.MemberServiceTests","LeaveGroup_WhenNotTheMemberOfTheGroup_ThrowsUnknownIdentifierException"
